USN,CollegeName,Result,Score,s1_name,s1_r,s1_f,s1_i,s1_t,s2_name,s2_r,s2_f,s2_i,s2_t,s3_name,s3_r,s3_f,s3_i,s3_t,s4_name,s4_r,s4_f,s4_i,s4_t,s5_name,s5_r,s5_f,s5_i,s5_t
M1610001, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,73.59,SOFTWARE PRACTICES AND TESTING ,Pass,50,17,67,BUSINESS INTELLIGENCE ,Pass,52,18,70,J2EE ,Pass,32,17,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,18,86,PROJECT AND VIVA VOCE ,Pass,200,52,252
M1610002, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,FAIL,69.57,SOFTWARE PRACTICES AND TESTING ,Pass,52,14,66,BUSINESS INTELLIGENCE ,Pass,45,16,61,J2EE ,Fail,19,15,34,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,16,84,PROJECT AND VIVA VOCE ,Pass,192,50,242
M1610003, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,72.97,SOFTWARE PRACTICES AND TESTING ,Pass,55,16,71,BUSINESS INTELLIGENCE ,Pass,39,15,54,J2EE ,Pass,49,12,61,J2EE AND SOFTWARE TESTING LABORATORY,Pass,72,19,91,PROJECT AND VIVA VOCE ,Pass,160,45,205
M1610004, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,66.46,SOFTWARE PRACTICES AND TESTING ,Pass,52,14,66,BUSINESS INTELLIGENCE ,Pass,47,16,63,J2EE ,Pass,32,14,46,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,15,80,PROJECT AND VIVA VOCE ,Pass,228,50,278
M1610005, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,74.38,SOFTWARE PRACTICES AND TESTING ,Pass,45,17,62,BUSINESS INTELLIGENCE ,Pass,56,17,73,J2EE ,Pass,40,17,57,J2EE AND SOFTWARE TESTING LABORATORY,Pass,70,18,88,PROJECT AND VIVA VOCE ,Pass,216,55,271
M1610007, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,87.65,SOFTWARE PRACTICES AND TESTING ,Pass,70,20,90,BUSINESS INTELLIGENCE ,Pass,74,19,93,J2EE ,Pass,51,19,70,J2EE AND SOFTWARE TESTING LABORATORY,Pass,77,19,96,PROJECT AND VIVA VOCE ,Pass,221,55,276
M1610008, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,51,15,66,BUSINESS INTELLIGENCE ,Pass,45,17,62,J2EE ,Pass,35,14,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,63,16,79,PROJECT AND VIVA VOCE ,Pass,203,51,254
M1610009, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,FAIL,70.43,SOFTWARE PRACTICES AND TESTING ,Pass,48,16,64,BUSINESS INTELLIGENCE ,Pass,43,17,60,J2EE ,Fail,22,15,37,J2EE AND SOFTWARE TESTING LABORATORY,Pass,63,17,80,PROJECT AND VIVA VOCE ,Pass,200,52,252
M1610010, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,79.7,SOFTWARE PRACTICES AND TESTING ,Pass,62,16,78,BUSINESS INTELLIGENCE ,Pass,53,16,69,J2EE ,Pass,56,15,71,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,17,92,PROJECT AND VIVA VOCE ,Pass,200,54,254
M1610011, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,68.11,SOFTWARE PRACTICES AND TESTING ,Pass,63,17,80,BUSINESS INTELLIGENCE ,Pass,49,20,69,J2EE ,Pass,47,17,64,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,17,82,PROJECT AND VIVA VOCE ,Pass,209,53,262
M1610012, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,82.7,SOFTWARE PRACTICES AND TESTING ,Pass,60,18,78,BUSINESS INTELLIGENCE ,Pass,54,18,72,J2EE ,Pass,57,19,76,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,18,96,PROJECT AND VIVA VOCE ,Pass,210,55,265
M1610013, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,83.24,SOFTWARE PRACTICES AND TESTING ,Pass,62,18,80,BUSINESS INTELLIGENCE ,Pass,54,18,72,J2EE ,Pass,58,18,76,J2EE AND SOFTWARE TESTING LABORATORY,Pass,67,18,85,PROJECT AND VIVA VOCE ,Pass,210,54,264
M1610014, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,82.73,SOFTWARE PRACTICES AND TESTING ,Pass,60,18,78,BUSINESS INTELLIGENCE ,Pass,59,18,77,J2EE ,Pass,64,18,82,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,18,93,PROJECT AND VIVA VOCE ,Pass,213,55,268
M1610015, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,37,15,52,BUSINESS INTELLIGENCE ,Pass,44,17,61,J2EE ,Pass,41,15,56,J2EE AND SOFTWARE TESTING LABORATORY,Pass,57,15,72,PROJECT AND VIVA VOCE ,Pass,180,50,230
M1610016, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,50,18,68,BUSINESS INTELLIGENCE ,Pass,48,18,66,J2EE ,Pass,44,18,62,J2EE AND SOFTWARE TESTING LABORATORY,Pass,76,18,94,PROJECT AND VIVA VOCE ,Pass,210,54,264
M1610017, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,82.65,SOFTWARE PRACTICES AND TESTING ,Pass,64,18,82,BUSINESS INTELLIGENCE ,Pass,60,19,79,J2EE ,Pass,63,18,81,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,18,93,PROJECT AND VIVA VOCE ,Pass,209,54,263
M1610018, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,32,15,47,BUSINESS INTELLIGENCE ,Pass,35,17,52,J2EE ,Pass,37,16,53,J2EE AND SOFTWARE TESTING LABORATORY,Pass,35,17,52,PROJECT AND VIVA VOCE ,Pass,193,50,243
M1610019, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,74.27,SOFTWARE PRACTICES AND TESTING ,Pass,39,18,57,BUSINESS INTELLIGENCE ,Pass,49,19,68,J2EE ,Pass,32,18,50,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,18,93,PROJECT AND VIVA VOCE ,Pass,221,56,277
M1610020, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,FAIL,76,SOFTWARE PRACTICES AND TESTING ,Pass,61,18,79,BUSINESS INTELLIGENCE ,Pass,62,19,81,J2EE ,Fail,20,18,38,J2EE AND SOFTWARE TESTING LABORATORY,Pass,58,18,76,PROJECT AND VIVA VOCE ,Pass,204,54,258
M1610021, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,69.73,SOFTWARE PRACTICES AND TESTING ,Pass,51,18,69,BUSINESS INTELLIGENCE ,Pass,60,17,77,J2EE ,Pass,36,17,53,J2EE AND SOFTWARE TESTING LABORATORY,Pass,77,19,96,PROJECT AND VIVA VOCE ,Pass,204,55,259
M1610022, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,68,SOFTWARE PRACTICES AND TESTING ,Pass,34,16,50,BUSINESS INTELLIGENCE ,Pass,42,16,58,J2EE ,Pass,32,17,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,73,18,91,PROJECT AND VIVA VOCE ,Pass,200,56,256
M1610023, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,64.27,SOFTWARE PRACTICES AND TESTING ,Pass,48,15,63,BUSINESS INTELLIGENCE ,Pass,60,17,77,J2EE ,Pass,32,16,48,J2EE AND SOFTWARE TESTING LABORATORY,Pass,63,17,80,PROJECT AND VIVA VOCE ,Pass,190,53,243
M1610024, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,79.76,SOFTWARE PRACTICES AND TESTING ,Pass,60,19,79,BUSINESS INTELLIGENCE ,Pass,61,20,81,J2EE ,Pass,41,19,60,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,19,97,PROJECT AND VIVA VOCE ,Pass,205,56,261
M1610026, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,46,15,61,BUSINESS INTELLIGENCE ,Pass,45,16,61,J2EE ,Pass,40,14,54,J2EE AND SOFTWARE TESTING LABORATORY,Pass,70,16,86,PROJECT AND VIVA VOCE ,Pass,192,51,243
M1610027, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,43,15,58,BUSINESS INTELLIGENCE ,Pass,33,16,49,J2EE ,Pass,32,14,46,J2EE AND SOFTWARE TESTING LABORATORY,Pass,43,15,58,PROJECT AND VIVA VOCE ,Pass,216,50,266
M1610028, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,84.89,SOFTWARE PRACTICES AND TESTING ,Pass,64,18,82,BUSINESS INTELLIGENCE ,Pass,55,20,75,J2EE ,Pass,54,18,72,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,18,96,PROJECT AND VIVA VOCE ,Pass,212,56,268
M1610029, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,80.46,SOFTWARE PRACTICES AND TESTING ,Pass,45,18,63,BUSINESS INTELLIGENCE ,Pass,58,18,76,J2EE ,Pass,49,18,67,J2EE AND SOFTWARE TESTING LABORATORY,Pass,72,18,90,PROJECT AND VIVA VOCE ,Pass,211,54,265
M1610030, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,85.97,SOFTWARE PRACTICES AND TESTING ,Pass,65,18,83,BUSINESS INTELLIGENCE ,Pass,71,18,89,J2EE ,Pass,63,18,81,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,18,87,PROJECT AND VIVA VOCE ,Pass,214,55,269
M1610031, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,79.32,SOFTWARE PRACTICES AND TESTING ,Pass,57,18,75,BUSINESS INTELLIGENCE ,Pass,61,17,78,J2EE ,Pass,52,18,70,J2EE AND SOFTWARE TESTING LABORATORY,Pass,74,18,92,PROJECT AND VIVA VOCE ,Pass,201,54,255
M1610032, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,75.65,SOFTWARE PRACTICES AND TESTING ,Pass,46,18,64,BUSINESS INTELLIGENCE ,Pass,59,17,76,J2EE ,Pass,56,17,73,J2EE AND SOFTWARE TESTING LABORATORY,Pass,67,19,86,PROJECT AND VIVA VOCE ,Pass,203,56,259
M1610033, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,79.41,SOFTWARE PRACTICES AND TESTING ,Pass,58,18,76,BUSINESS INTELLIGENCE ,Pass,71,16,87,J2EE ,Pass,66,17,83,J2EE AND SOFTWARE TESTING LABORATORY,Pass,72,18,90,PROJECT AND VIVA VOCE ,Pass,200,55,255
M1610034, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,65.86,SOFTWARE PRACTICES AND TESTING ,Pass,36,15,51,BUSINESS INTELLIGENCE ,Pass,45,17,62,J2EE ,Pass,46,15,61,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,16,84,PROJECT AND VIVA VOCE ,Pass,193,51,244
M1610036, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,87.65,SOFTWARE PRACTICES AND TESTING ,Pass,64,18,82,BUSINESS INTELLIGENCE ,Pass,75,19,94,J2EE ,Pass,57,18,75,J2EE AND SOFTWARE TESTING LABORATORY,Pass,77,18,95,PROJECT AND VIVA VOCE ,Pass,223,57,280
M1610037, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,67.78,SOFTWARE PRACTICES AND TESTING ,Pass,45,17,62,BUSINESS INTELLIGENCE ,Pass,60,19,79,J2EE ,Pass,38,16,54,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,17,82,PROJECT AND VIVA VOCE ,Pass,193,50,243
